panel,group,exp_id,residual,edge,color,artifact,structure,total,notes
1,REF,v2_final,3,5,4,5,5,22,基线，有残留
1,REF,v2_single,2,5,4,5,5,21,仅inpaint，残留更多
1,A,telea_r3,5,5,5,5,5,25,最优
1,A,telea_r7,4,4,4,5,5,22,轻微过度平滑
1,A,ns_r3,5,5,5,5,5,25,最优
1,A,ns_r7,4,4,4,5,5,22,轻微过度平滑
1,A,median_k71,5,3,4,4,5,21,边界模糊/色带
1,A,biharmonic,5,4,5,5,5,24,好但慢(3s+)
1,A,baseline,3,4,4,5,5,21,等同v2_final
1,B,b1_brightness_t15_r3,4,5,5,5,5,24,检测不完全
1,B,b3_grow_t20_k71,4,5,5,5,5,24,检测不完全
1,C,bilateral_d9_sc75_ss75,3,2,3,3,4,15,淘汰：边界严重模糊
1,C,gaussian_k11_s2.0,3,2,3,3,4,15,淘汰：边界严重模糊
1,D,d1_telea_full,5,5,5,5,5,25,最优，等同A_telea_r3
1,D,d2_biharmonic_full,5,4,5,5,5,24,好但慢
2,REF,v2_final,3,5,4,5,5,22,基线，有残留
2,A,telea_r3,5,5,5,5,5,25,最优
2,A,telea_r7,4,4,4,5,5,22,轻微过度
2,A,ns_r3,5,5,5,5,5,25,最优
2,A,median_k71,5,3,4,4,5,21,边界模糊
2,B,b1_brightness_t15_r3,4,5,5,5,5,24,检测不完全
2,C,bilateral_d9_sc75_ss75,3,2,3,3,4,15,淘汰
2,D,d1_telea_full,5,5,5,5,5,25,最优
3,REF,v2_final,3,5,4,5,5,22,基线，有残留
3,A,telea_r3,4,5,5,5,5,24,最优（复杂纹理稍弱）
3,A,telea_r7,4,4,4,5,5,22,轻微过度
3,A,ns_r3,4,5,5,5,5,24,最优
3,A,median_k71,5,3,4,4,5,21,边界模糊
3,B,b1_brightness_t15_r3,4,5,5,5,5,24,检测不完全
3,C,bilateral_d9_sc75_ss75,3,2,3,3,4,15,淘汰
3,D,d1_telea_full,4,5,5,5,5,24,最优
